sentence,sentiment
"No, it's not off the table, but it's moot unless we decide we want cqlsh in-tree at all.",negative
"(back from holidays, so a bit delayed, but) I confirm Andrzej's suggestion -- a plain-text only summarized is ideal for clustering for example.",negative
"though I disagree with a signficant amount of statements you made,I don't think we would ever come to agreement anyway.",negative
:D,positive
"I'm not entering bogus reports for the hell of it ;)

Matt",negative
Hey very cool. ,positive
"Hi Edward

Thanks for spotting it.",positive
Thanks Martina.,positive
Damn...,negative
Sorry again!,negative
It will be great if you could confirm it either way first.,positive
"Sorry if this spam's things, however it's unlikely that I'll work on these.",negative
The patch looks good.,positive
"if so, can you see if you can git bisect this bad boy?",negative
"Thanks a lot, Jon for signing up this.",positive
"Whoops, sorry.",negative
"Thanks, Oliver!",positive
"Ah, too bad.",negative
Thanks [~cnauroth] & [~tomwhite] for the reviews!,positive
Sorry I thought submit patch was the way to attach a patch.,negative
"Thanks, Tom",positive
"Hi James,

This patch has been applied by chirino in the revision 576522  at Sep 17.",positive
If I get a chance I may even roll it into our dev environment but I am currently in the middle of mem leak hell.,negative
One of the error is that hiddenActivations cannot be resolved.,negative
Sorry for the hassle.,negative
"Hi, very cool!",positive
"That irritated the hell out of me too, but I didn't realise it was configurable in the .launch file.",negative
"The defect  from hell 666, be scared..",negative
Pretty much everything that FSNamesystem (ie.,negative
My bad.,negative
"@Subbu:
Glad I was able to help.",positive
Thanks Galder:),positive
"Forgot to mention:

Thanks to Alejandro and his team for pointing this one...",positive
This is not what I build a framework for.,negative
"Django is a fullstack framework, Click is not.",negative
"However, I figured it was better to get it in the public domain sooner and let the iterative process do it's work.",negative
"Best regards,

Andrew",positive
Damn it.,negative
Thank you Thejas for the patch and Ivan for the review.,positive
"I have this issue, where my server and client is creating a lot of loopback threads, that I believe must be related to this issue.",negative
Last try.,negative
Thanks for the help BJ!,positive
"Hi Henry, Thanks for checking it out. 
",positive
"Thanks for your comments, Konstantin.",positive
"The state stuck at ""Allocated state"", It is a dup of 3788.",negative
Sweet :) You got there before me,positive
Sorry guys,negative
"Thanks for taking a look, Jiannan
",positive
oh ...geez I'm an idiot.,negative
It must be lost somewhere.,negative
Sweet kickstart for our new wiki!,positive
Sorry.,negative
"I'm happy to use it as the standard logo (i.e. website, etc.).",positive
"*Damn*, I forgot.",negative
What the hell?!,negative
"Thanks Areek, new patch looks great; I'll commit shortly.",positive
Thanks Oliver.,positive
bq. this is solr's fault by having a getter that does some heavy duty xml shit.,negative
(Do nothing): Are you serious about that?,negative
Thanks for your work on this Allen!,positive
"I don't know how the hell my diff program decided to add seemingly random CR chars, but I've removed them now.",negative
sorry....,negative
I am an idiot - this was a dupe of GUVNOR-84,negative
Awesome discussion.,positive
"Sorry, here's the test that reproduces the issue.",negative
Sorry about the trouble.,negative
"Sorry, grabbed the wrong ticket.",negative
"Thank you very much, Richard.",positive
A pleasure :>.,positive
"Sorry  about that, tiredness.",negative
Im stuck with IE6 unfortunately.,negative
"But I will quit committing to Hama then, because I'm not going to support ONLY a binary format.",negative
"Cool feature!

Performance:
 - It looks like scripts are read from the resource loader and parsed again (eval) for every update request.",positive
Thanks Kathey.,positive
It was a pretty stupid idea to use a static array of instances for QuorumOpMonitor.,negative
Ok here is a patch that works. I was stupid enough not to see it...,negative
"In this case, data would pretty much just silently be lost.",negative
(How bad is this?,negative
"Sorry about that...

http://bit.ly/12UiaS",negative
"Sorry folks, the full fix was committed in rather a messy manner due to some platform specific issues.",negative
It was attached to the wrong bug.,negative
tricky shit man! I think I found the issue!,negative
Replaced patch with fix to catch more bad variables,negative
"Thanks Todd, glad to be on board!",positive
Sorry for the delay.,negative
"Sorry for a mess in uploaded files, my connection got broken during first upload.",negative
This is a pretty awful bug.,negative
"Sorry, misunderstood the issue!",negative
Sorry about the confusion before,negative
"Sorry, we are no longer using Xerces.",negative
Especially I don't know very much about the test framework differences.,negative
Sounds good.,positive
Damn dyslexia!,negative
Thanks Ravi.,positive
"i kinda like the black acctually .. but that may largely be due to my prefering the ""fire"" solr logo over the futuristic magnifying glass (the red/orange contrasts nicely with the black/grey.

to my mind, the ""Solr"" ""Sun"" connection has allways been really cool ... ",positive
"Hello George,

The fix looks fine, many thanks!",positive
"This looks reasonable to me... sucks we have to special case handling of "" ""...",negative
"And I think if we're going to do a sweep up of shit, we should just kill root.",negative
"Thanks a lot!

",positive
"They don't vote, they
whine that something (or everything) sucks.",negative
Thanks Ilya.,positive
"Actually that's what this change did, sorry for the noise.",negative
"Sorry, this affects 0.9.3 version too.",negative
it belongs to faces 1.2 :),positive
"Well, either you query the database every damn time, and your plugin/tool/code will be super slow.",negative
Does this suck?,negative
Thanks Jimmy.,positive
"Thank you, Ivan!",positive
"My bad, uploaded the wrong patch.",negative
Thanks Ivan.,positive
Who made this stupid rule?,negative
Too bad we can't use position:fixed in IE6.,negative
"Shit, there is an dependency. Please go to Preferences -> LDAP -> Entry Editor and enable the option ""Show operational attributes"".",negative
Great! It's been good to be able to contribute and I hope to be able to more for this awesome project when I have the spare time.,positive
My bad.,negative
bq. First of welcome :) Thank you. ,positive
"So, sorry I can't be more obliging.",negative
"Sorry about that, fixed now.",negative
"Thanks, JinJie!",positive
Awesome! This tool is cool.,positive
thanks Tomas!,positive
Sorry for the noise.,negative
"Sweet! Git, I love git! :)",positive
once per every bad disk).,negative
"ahhh sweet, i'm guessing you have an IDE that does this? If the tests pass commit, this kinda crap goes out of date too fast!",positive
Thanks to Edward and Brock for the reviews.,positive
I always get the same stupid error.,negative
"durrrh, that sucks.",negative
"Thanks for taking care of this, Alejandro.",positive
Sorry for the misspelling ;),negative
Thanks to both for these usability enhancements !,positive
I'm sorry.,negative
Where on earth are you anyway?,negative
"Credit, of course, goes to Dick.",negative
Unable to reproduce issue.,negative
Enjoy!,positive
"Sorry ;-) +1
",negative
" I used to be the latter, but then I went to law school and got a degree in this shit. ",negative
"Also, your username was stupidly named and confusing, so I deleted it and created a new one more appropriate.",negative
Cool.,positive
"Hey, sorry I did not get back to you sooner.",negative
"Sorry,I haven't tried you patch.",negative
I really don't care.,negative
I'm an idiot... there's nothing wrong with the readme.txt.,negative
Looks good.,positive
"Thanks for your patience.
",positive
-1 to jar hell.,negative
That's pretty unlikely.,negative
App developers never do what they should :),negative
Forgot to add that I also tried this with and without HBASE-5864,negative
"Hell, UnaryFunction might even be faster than all of these calls in a row.
",negative
"That sucks, why isn't the escape mechanism working?",negative
"On 2008-10-20 11:43:52.354 woflexair commented:
Joan,

sorry for the noise in the bugbase but it's not a bug.",negative
This was my bad.,negative
I disagree... and I guess I'm willing to go to bat for this.,negative
"Sorry, I see that you say the same, Mike :)",negative
How bad is it?,negative
Damn maven!,negative
guys... this is so stupid...,negative
Sorry for the trouble.,negative
"Sorry, attached the file to the wrong issue.",negative
Sorry for the noise.,negative
"cool, no worries.",positive
"Thanks Divesh,

Your patch is commited at revision: 762863  
",positive
HOLY SHIT!,negative
I am planning to use this framework for some new RPCs I am adding.,negative
I did it wrong this time.,negative
"So, I'm fine with your logic, but given that I don't understand it please don't get upset when I ask questions on how I have to use it.",negative
thanks again Uwe,positive
"Oops, had a bad comparator in the TestCLI config.",negative
*sorry*,negative
Sorry.,negative
I am currently trying to get it into AJDT dev builds but my git push is timing out (damn thing!,negative
"I would love it in 3.3.2, will upload a patch for that version.",positive
Since this patch is so damn large already I won't be making anymore changes to this other than critical/blocker bug fixes.,negative
Weird.,negative
"Hello,

Thanks a lot!

It works.

Lisa
",positive
"But now that I think about it, it may crap out when coming back to read even on a recovered file.",negative
"Sigh, I don't like this overall if can't reuse everywhere.",negative
"So I also changed a test to test a non-ascii stopword :)
",negative
Sorry I missed some of this the first time.,negative
Here is addendum to fix (Sorry about build breakage),negative
"cool stuff! a good candidate to put on myfaces-commons-utils, so the user can just add the resource handler on its webapp faces-config.",positive
* release of the framework.,negative
"+1 (damn intellij, it's not like patch format hasn't been standard for years)",negative
"Nice, I did not think about using the system tables.",positive
"Not too bad though, since clearing out commitlog segments is easily done.",negative
"Unless we switch to Antlr 3.0 ( and even though, I'm not sure this would fix the problem), there is nothing we can do.",negative
Sorry for the wild goose chase!,negative
I don't have resources to hand to test this at mo.,negative
My bad!,negative
I really appreciate your comments and I really enjoy our discussions:),positive
"But it was not the only issue: we also want to manage priorities between the tasks, but we need to read them to get enough information to make the right priorities.
",negative
"Please forget last comment, it is incorrect.",negative
Thanks guys for saving mankind!,positive
"sorry, should have been getDataModel not getDataTable.",negative
"It also happens at the very startup after he has loaded only 3 sstables (hence DataTracker likely have 3 sstables, not a shit load).",negative
" We should not invoke the global synced fieldnumbers shit for every element, only when the setting actually changes",negative
Sorry for that.,negative
"I just noticed your public tweet...

bq. ""@wilhelmbierbaum True. Fuck the Avro C API.""
",negative
Awesome speedup! Finally all this work shows great results!!,positive
"Sorry, I thought issue (and provided patch) were about cocoon-servlet-service-impl, used by either C2.2 and C3 but only now I see that instead they are related to cocoon-servlet-service-components (C2.2 only).",negative
"So, it is stuck somewhere.",negative
"Hi Bruno,

I like it, seems to work well at 1st glance

Thanks!",positive
It's OK.,positive
Thanks Doug for the change.,positive
That's weird.,negative
Both equally bad.,negative
"Sorry, this should be YARN JIRA - filed YARN-350 instead",negative
The problems I was talking about are mostly fixed by [HADOOP-3575] and [HADOOP-3480].,negative
Tests no longer sleep,negative
Thank you!,positive
I love a solution that's simpler and easier to understand than the original.,positive
Any word on whether it will be fixed?,negative
"That being said, I'm not totally opposed to making the limit configurable.",negative
Bad memory.,negative
Am I doing something stupid here?,negative
I really don't know how to solve this problem.,negative
Thats sweet that you have the prior experience hacking this on top of a store already.,positive
"Keep repeating this and the problem just gets worse.
",negative
"Sorry I didn't use your patch, but I think you'll like the end result.",negative
"Then, to make matters worse, since the mid-1990's I've been offering pro bono advice to non-profit foundations whose members insult me regularly and assume I'm an amateur.  ",negative
That is bad.,negative
"Sorry, in rushing to commit I forgot to add author during the commit.",negative
"Ok, wow, welcome to Linux hell...",negative
" I think the comments here are a bad sign... I sent us down an unfortunate slippery slope

we are a search engine library!

don't put shit in the index directory! or we will delete your shit. dead simple.",negative
This just seems really evil.,negative
This sucks.,negative
Our caller may not notice what happend right now.,negative
WOW....you are right...I'm deeply sorry to bother you guys (and I'm also a bit embarrassed).,negative
"If so, a test that succeeds with errors is confusing as hell...",negative
"@Oleg, please accept that my ""logical"" is different from your ""logical"".",negative
Thank you Brandon.,positive
"Of course, StrFieldSource is a private class

No it's not.",negative
The Async API in http client 4.x really sucks.,negative
"For some reason, I couldn't upload the straight patch.",negative
"Sorry, probably a misunderstanding from my side....",negative
"Here are 2 patches ... one for adjustExamplePaths.bat & .sh
and the other a new file holding 2 User Libraries ... UIMA_LIB & UIMA_AS_LIB
Not sure where this should go ...",negative
SnappyCodec check for Hadoop native lib is wrong.,negative
"Sorry to have not spotted this one, and thanks for your care.",negative
Thanks a lot for your help!,positive
sorry about this.,negative
"Just to clarify... you made the DTPE handle exceptions the same way as CassandraDaemon by updating it to use NBHS instead of CSLS... 

Did you just tell me to go fuck myself?",negative
"Um sorry, i thought this ticket was about something else - patch attached, David would you give a try?",negative
that's bad Content-Type from gSOAP.,negative
In current version the same error cause different messages because there are many commiters.,negative
"Then you're pretty well screwed.
",negative
You may want to carefully examine your assumption about this.,negative
"Thanks again for this really great patch, Andrew.",positive
Here is quite bad.,negative
Sorry for that.,negative
"Yes, sorry.",negative
"Fixed in svn revision 533916.

thanks,
dims",positive
"sorry, unassigning myself from this backport.",negative
"Committed a slightly cleaned up version of the patch in revision: 1464605

Thanks for your help Todd.",positive
For those of us who don't care about ivy in fact lose something - a easy to build hbase.,negative
"Megan, Glad to be of service : )",positive
My bad...,negative
The evil NPE strik back !!,negative
"Sorry for the delay, I'm recreating the mirror now.",negative
Thanks Koji!,positive
I will try to do more research on it.,negative
Jonathan: over to you :),positive
My bad.,negative
When you install a node module globally it goes into /usr/local where you don't have permissions to move shit into unless you sudo.,negative
Sorry to nag.,negative
"Took me a few seconds to get it, but then I realized how awesome it is.  ",positive
Thanks for being patient Devaraj!,positive
Sorry I'm wrong about #2.,negative
"Sorry once again for the wrong report,
Stephane",negative
I was not aware of being required to call that method.,negative
It's not too bad once CacheConfig is in.,negative
"Sorry, that should have said fixed via HADOOP-4980, not 6980.",negative
sorry.. redeploy patch,negative
"thanks,
nandana",positive
"No unit test, sorry (but there's not much deltaQuery coverage anyway).",negative
Sorry.,negative
Great investigations Doron!,positive
Brain fart.,negative
"Oh, my stupid:)",negative
"Sorry, I had attached an older version... let's try this one.",negative
Maybe only one of us should play lawyer and the other one play engineer.,negative
"Sorry for the delay and thanks for the good work, works like a charm!",negative
I have a really bad habit of not reading thru all the bug comments before asking questions.,negative
Please ignore attachment (id=6938).,negative
This is where it gets confusing.,negative
which is silly -- bad package encapsulation).,negative
Another backport (for a different jira) of mine is failing and I want to see if I can figure out what might be wrong there before doing a new backport.,negative
I didn't know we needed to retain backwards config capability across 3.x to 4.x  :-(  That sucks and it'll make old code stick around longer.,negative
"Thanks, Jeff!",positive
Thanks Bryan!,positive
Thanks to Fabrizio for the patch.,positive
"Oh fuck :-) Sorry. Not my day, more beer needed!",negative
"Heh, that's one hell of a bug, 275 bytes exactly, eh?",negative
" (In this particular case, Hoss clearly intended to use the no-no word as an intensifier, and not to stir shit.)",negative
Looks like this is fixed :),positive
"Thanks so much, sorry that this isn't in the appropriate place.",negative
Pull it back in if you think different.,negative
"Sorry, I forgot to change the priority of this one.",negative
"no, sorry - priorities have been shifted around...",negative
Original edited patch was messed up... stupid sed!,negative
Phabricator is being a little buggy.,negative
This is pretty embarassing!,negative
"Cool, that's all good news too! Thanks guys. One less on my radar.",positive
How on earth is it buggy?,negative
I'll just put fix in under this issue.,negative
"Sorry if this was not clear, and yes, by <blank> I meant an empty string.",negative
This is quality work.,positive
"Yes please - pull request away, my friend!",positive
"You are going to kill me when I say this, but it seems like we should just commit your first patch.",negative
"Aside from the job succeeding (it doesn't), what effect should I be able to measure (in order to see if this is doing anything)?",negative
it's my bad.,negative
"Thanks in advance
Jens
",positive
That's weird.,negative
"Great work...this is awesome stuff.
",positive
"Shit, my bad. The posted patch is from a completely wrong branch of my git repo - I had not realized I ran the test-patch against a branch not branch-1.",negative
"[~shazron]Sorry, that was weird.",negative
Sorry [~fiberlijun] - havent had a chance to look at it yet.,negative
Thanks Jukka for fixing this :) (sorry),negative
Thanks Tom.,positive
"RMAppAttemptImpl.recoverAppAttemptTokens()

Looks like all changes in RMAppImpl are unnecessary.",negative
"Thanks, Ravi!",positive
bq. this is solr's fault by having a getter that does some heavy duty xml shit.,negative
I'm however very interested in this feature as it is essential to me.,negative
You misunderstood the response: StopFilter indeed did not change.,negative
Sorry about the error guys.,negative
Sorry for being confusing.,negative
Awesome!,positive
"Thanks Adrien for looking into this, nice explanation!",positive
"I just hate having no clue what a file is really depending on ;)
",negative
+1 for this: my bad.,negative
I don't care about code duplication here.,negative
sorry.,negative
Thanks Hairong!,positive
I don't want one-offs like this to become lost and forgotten.,negative
sorry :),negative
"My bad, had a typo in the subscription e-mail.",negative
Thank you very much for your effort David.,positive
"Don't hate me, just throwing this out there.",negative
"Bad.
",negative
"Hi Suran,

The new catalogs_b.patch looks very good.",positive
"who the fuck is asking for scores, but not the max score, and why does their insanely specialized use case justify all these booleans on a central lucene class.
",negative
My bad.,negative
I looked at our distributed pom.xml and they're pretty obscure.,negative
Long Life MyFacesssssssssss!,positive
"* Replaced TreeMap with an Array of final 'Segment' objects
** (now very slightly faster than trunk)
* Rebased for trunk
* Removed the patch renaming SSTableReaderTest to SegmentedFileTest

I didn't remove the builder pattern, because the alternative seems pretty ugly (copying the segments array for every append).",negative
great. awesome job sergey!,positive
The patch went to the wrong bug.,negative
"Sorry,
I tought I could commit this patch but I did not realize that one of the files is in the framework (and I have not access to it).
",negative
"Not only it's the first one in my life I'm seeing multiple ways of closing the same thing, it also conceals programming errors.",negative
The responder seemed to be a bottleneck.,negative
":)

I've renamed ComponentColorProperty to be ComponentColorElement and RelationshipAggregation to TwistieAggregation.",positive
I misread.,negative
"Oh, I'm sorry, I was unclear.",negative
"Sorry , fixed.",negative
Fix bad patch,negative
(I could not get what KEYWORD means.),negative
"Sorry, but look at mapSubtract and further down in the source you will find plenty.",negative
"Done, sorry for all the mess on a simple patch.",negative
"well sorry, i didn't upload the right files",negative
"If someone wants to take this over, that's cool - I'm unlikely to have time in the next week and a half, though.",negative
Sorry; I hit close by accident.,negative
"Sorry for the super-slow uptake on this, the new job is using up all of my limited brain resources. ",negative
"Hey, you're right, that idea was probably not the best approach to the problem - 0.6 looks really nice, looking forward to it :)",positive
"Ah, sorry I misunderstood you.",negative
"+1, thanks Tom!",positive
This name gets confusing with all of our prenamed *Worker* and *Master* classes.,negative
Sorry for the huge delay Fabio.,negative
"Thank you, guys!",positive
Thanks Karl.,positive
"If I can give you one advice on this one, I'd say this: fuck Derby, use H2 instead as the default embedded database.",negative
"It is not yet tested - I ran into strange build problems with APR.
",negative
My bad.,negative
I must have looked at this before my morning coffee..,negative
"Hi Daniel, thanks in advance for your support.",positive
This is a silly one.,negative
"So very cool, and so very committed-- thanks Matthias, this is awesome.",positive
"Line 1664 (sorry, the 0.94 codeline)",negative
"Sorry, missed that select-box.",negative
My bad.,negative
No sorry.,negative
I found the (sad) attempt at a script you asked about and uploaded it to MAPREDUCE-4282.,negative
Hudson is stuck.,negative
I should have been very careful before doing this.,negative
Thanks once again.,positive
"sorry, last patch was missing new files",negative
It does not look very useful.,negative
Code looks cool.,positive
Damn it !,negative
"I'm not sure what the problem is, but the behavior (at least in 0.1.4) is that the _isClosed AtomicBoolean is not being set to closed in a timely manner.",negative
I will figure out the details and do the port later this week if you don't get to it first.,negative
Gav...(Hoping I'm not teaching you how to suck eggs :) ),negative
"http://svn.apache.org/viewvc?view=rev&revision=468444

Deepal,
Thanks!",positive
This is awesome!,positive
Hudson seems to be stuck on this. ,negative
"Oh, sorry.",negative
"Sorry about the noise, was trying out the precommit job.",negative
Thanks Bob your patch is in trunk at r932317,positive
This is awesome - works in a one-liner. ,positive
Thanks Suresh.,positive
While creating the DerbyTest I did notice that this problem is caused by the Database pool because it tries to connect to the database in the background.,negative
Sorry.,negative
Sorry.,negative
Sorry.,negative
"Excellent work, Doğacan - thank you.",positive
Sorry about the report.,negative
"Sorry, for all the issue mails, I forgot to mention the second:

2) There is commented source in the test, should it be enabled or removed?",negative
Missed 2 new files - sorry !,negative
"Thanks Bilgin,  it is working fine now.",positive
"Oh, signed shift!",negative
Thanks Stepan.,positive
Why on earth does createLink() need a request?,negative
Doh!,negative
HTML is quite uncomfortable to work with.,negative
Hmm ... this is quite bad.,negative
Thanks for you work on this Jayachandra.,positive
If they do then Suse's cpio works for old ascii but the -c switch is broken.,negative
"Thanks, Jing!",positive
"Of course, it could...  :-)  DOH!",negative
Sorry to let you lose a wild goose chase.,negative
"Sorry, that should be

FileChannel inputChannel = input.getChannel();
FileChannel outputChannel = output.getChannel();

in the try block.
",negative
This was my bad.,negative
I missed the context.,negative
Sorry - I just didn't read the issues carefull enough.,negative
That is a bit too lax I think.,negative
"What the hell, I'll give this a shot.",negative
":)

Best regards,
Fabian.",positive
I've looked at what can be done within the NSIS framework we use to build the Windows installer.,negative
"Oh, ok.",negative
Thanks Suresh,positive
"Sorry, should have commented on this much sooner.",negative
Thank you!,positive
"Thanks for figuring this one out and providing the patch, Jamie!",positive
"Sorry, Thiru, I hope you haven't already started working on this!",negative
Damn.,negative
"Thanks for reporting, solved!",positive
"Thanks Ram,

That seems like a definite improvement.",positive
"If you know of a way, please describe it.",negative
"Sorry, patch is attached ",negative
"I'm starting to think of ""DLL Hell.""",negative
"@idiot Yeah, I was on that idiot-path for a good while but commons-lang is a hairball, at least where this hashcode making and equals is concerned.",negative
"Ha sorry Varun, thanks for the reminder, I will have a look at it soon...",negative
"I am checking out the dojo fixes and patching them in, sorry for the delay, it has been a long time
",negative
Sorry everyone.,negative
Thanks for looking into this Suresh.,positive
I did not have time to do it yesterday.,negative
Thanks Thomas!,positive
Seems to be a faulty mailserver setup at laguna-industries.com.,negative
"problem - the bit to sign the source-release is being called when the source-release isn't being built because the source-release is only built at the ""executionroot"".  ",negative
"BTW: This is one reason why I hate this autoboxing shit since Java 5. I would love to have a way to prevent it in code (forbidden checks should detect this somehow).
",negative
"And with a network that
tolerates almost everything to get a mail somehow in the right place, it is only seldom noticed (or when it is, it is blamed on
Microsoft.",negative
Thanks Elena.,positive
Many thanks for your help.,positive
"Adrian,

thanks for the patch: rev.",positive
"Wow, it's like Thrift is going out of their way to make life suck for us this month.",negative
damn this was assigned to you since months.,negative
Sorry for letting you guys wait.,negative
Pull it back in if you think different.,negative
My bad.,negative
Bloody hell !!!,negative
sorry.,negative
The food is very bad.,negative
Thanks Sandy.,positive
"Sorry, my code base is a little old, looks like HADOOP-9147 add some new test in TestFileStatus. ",negative
"Thanks Alexei, the patch is fine.
",positive
"Filling diags.log is bad mojo, since it's never rotated.",negative
Wow!,positive
"Igor, sorry it took me so long to get back to this.",negative
"great, thanks Joel.",positive
"Marcelo, thanks for pointing out this; it is now fixed in rev.",positive
Thanks Tom!,positive
"But, even if it wasn't it would be totally worthless where it is at.",negative
This really sucks!,negative
"Thanks, Adrian!",positive
"Sorry guys... :(
I was the reason for this trouble.",negative
I wholeheartedly agree this API is confusing as hell.,negative
"Sorry, missed this.",negative
Thanks Christian.,positive
What the hell are you waiting for ?,negative
Blooper after blooper - I hate SVN.,negative
"Shit, there is an dependency. Please go to Preferences -> LDAP -> Entry Editor and enable the option ""Show operational attributes"".",negative
"Well, that sucks.",negative
Thank you Jing.,positive
"Awesome co-op. Thanks, Robert & Mike, for picking this up.",positive
Hell or high water.,negative
"Sorry, didn't look at the code until commit...

Can you test making it hash to a Long or a 8-byte ByteBuffer?",negative
My bad.,negative
Sorry about that.,negative
"It seems some of the wrappers in ink_hrtime.h() might no longer be used either, e.g. ink_gettimeofday() is never used, so lets get rid of that shit.",negative
"Got it, thanks for the explanation.",positive
"Forgot about these, sorry.",negative
Bugs like this make me sad.,negative
"Ignore comment.

",negative
Stupid user error :),negative
Not sure I want the transient inability to clean up some local log or other trivial task to kill a whole pig job?,negative
This is always a really bad way to design software.,negative
"Unfortunately, in these days where everyone that can put a CD
the right way up in a drive is a Linux/Unix/Windows/Internet Expert, this has become pretty common.",negative
Thanks Laura.,positive
"Cool, will do!  Thanks for the review and good questions... and the whole idea! :)",positive
"s/[~apurtell]/[~lhofhansl]/

Sorry guys.",negative
"Sorry for the delay, was away.",negative
I'm a pretty strong -0 on this.,negative
Tabs are evil.,negative
"Damn it, sry lost the orientation.",negative
Thanks for the quick patching Donald!,positive
"@Luke, Sorry for the late, attaching latest version patch",negative
"Nice feature, lars!!",positive
First guess: something's getting confused about reversed-ness.,negative
"Thanks, Myrna.",positive
"Sorry [~svenkat], I just committed this.",negative
"Sorry, db name is TPCDB, user name TPC, pwd whatever...",negative
That sounds like some serious buck passing.,negative
Thanks Hari!,positive
"Cool, thanks Daniel, we're actually cool with either updating it to e9ff8c4928 or flipping the write bit and we'll push the delta ourselves - whatever's the fastest to get to writeable:)

Thanks,
--tim",positive
"I lost the whole morning cause HBase's RegionServer was dying with no logs, no nothing... how Am I supposed to debug the issue if u do not even generate a core dump?",negative
Sorry for the spam - but which test method - can't find any related to the SnapPuller on trunk.,negative
thanks henry!,positive
who the hell starts using our jira for typing lessons ?!?,negative
This was very bad documented.,negative
Inserting timestamps automagically would be bad because it would limit a whole swath of use cases.,negative
Sorry I've been MIA on this issue.,negative
Thank you Ravi.,positive
Looks quite perfect after solving PDFBOX-490.,positive
"Looks pretty cool. Fresh and minimalist. Love it :-)
Good work.",positive
Cool. sounds good to me.,positive
"Swear to god, I'm not a total idiot.",negative
Cool cool - thanks stack!,positive
Thanks  Rishi Solanki  to review the patch.,positive
"Interesting, I just replaced my src with the latest in the trunk and did a compleatly clean build and the problem seems to have gone away.",positive
"I haven't had any time to try re-upgrading after having to back out 2.0.8, but I will be sure to let you know how it works out as soon as I get the opportunity.",negative
"A feature with wrong functionality is as bad as, if not worse than, a bad performance.",negative
"Well, damn.",negative
Seeking back is pretty inefficient in DFS.,negative
"Sweet, I will review and apply.",positive
Thanks for moving so quickly on this guys.,positive
Kind of sucks.,negative
My bad.,negative
Sorry about that.,negative
"Sorry [~kumarr], let's just do this in 0.96.",negative
I'm very sorry.,negative
"Sorry, it seems I forgot a few references to 2.0.2 in ./deps/cxf-all
I'm attaching a new patch to fix these references.",negative
thanks edgar for finding this one!,positive
"Sorry, you're right.",negative
"Thanks for review and test case, Knut.",positive
"Hey Vikram-- sorry about that, I haven't paid much attention to this issue.",negative
Doh.,negative
"Best regards,
Richard",positive
"Sorry, https://bugzilla.mozilla.org/show_bug.cgi?id=514760 is related but not same.",negative
"Taking it over

Thanks,
Mayank",positive
